NUM_CORR_ACI;COD_LOCAL_EVENTO_ACI;NUM_TRAT_ACO_PAN;MES;AL_CAS;GRAU;TRAT;S_MAX
592213;OB1;1;201312;228;AS;C1;9
592230;OB2;1;201312;113;AA;C1;8
592240;OB2;1;201312;244;AS;C1;9
592260;OB1;1;201312;423;AA;C1;10
592271;OB2;1;201312;466;AA;C1;10
592275;OB2;1;201312;206;AA;C1;10
592294;OB1;1;201312;60;AA;C1;8
592298;OB2;1;201312;107;AA;C1;8
592300;OB2;1;201312;279;AA;C1;8
592317;OB2;1;201312;628;AA;C1;10
592328;OB1;1;201312;219;AA;C1;10
592337;OB2;1;201312;375;AA;C1;10
592438;OB2;1;201312;226;AA;C1;10
592442;OB2;1;201312;402;AA;C1;10
592444;OB2;1;201312;166;AA;C1;10
592460;OB2;1;201312;310;AS;F1;4
592472;OB2;1;201312;558;AA;C1;15
592476;OB2;1;201312;188;AA;C1;15
592483;OB1;1;201312;205;AA;C1;15
592487;OB1;1;201312;185;AA;C1;9
592518;OB2;1;201312;625;AA;C1;8
592537;OB2;1;201312;356;AA;C1;10
592539;OB2;1;201312;78;AA;C1;10
592543;OB2;1;201312;61;AA;C1;10
592601;OB2;1;201312;295;AA;C1;15
592634;OB1;1;201312;769;AA;C1;20
592647;OB2;1;201312;227;AA;C1;10
592649;OB1;1;201312;81;AA;C1;10
592654;OB2;1;201312;230;AS;F1;9
592662;OB2;1;201312;54;AS;F1;9
592704;OB2;1;201312;74;AS;C1;8
592730;OB2;1;201312;345;AS;C1;9
592808;OB1;1;201312;478;AA;C1;15
592865;OB1;1;201312;216;AA;C1;20
592891;OB2;1;201312;130;AS;C1;8
592907;OB2;1;201401;570;AS;C1;3
592955;OB2;1;201401;298;AS;C1;4
592964;OB2;1;201401;987;AA;C1;6
592985;OB2;1;201401;42;AC;C1;15
592986;OB1;;201401;0;AS;C1;4
592988;OB2;;201401;0;AC;C1;15
592997;OB1;1;201401;374;AA;C1;9
593002;OB1;2;201401;357;AA;C1;10
593015;OB2;1;201401;243;AA;C1;9
593054;OB2;1;201401;199;AA;C1;9
593055;OB1;1;201401;296;AA;C1;9
593059;OB2;1;201401;370;AA;C1;10
593061;OB1;1;201401;194;AA;C1;10
593079;OB1;1;201401;594;AA;C1;8
593112;OB2;1;201401;11;AC;C1;15
593146;OB1;1;201401;493;AA;C1;8
593150;OB1;1;201401;742;AS;F1;6
593155;OB2;1;201401;215;AA;C1;10
593157;OB1;1;201401;647;AA;F8;4
593171;OB2;1;201401;210;AA;C1;9
593179;OB1;1;201401;249;AA;C1;9
593193;OB2;1;201401;429;AA;C1;8
593196;OB1;1;201401;132;AS;C1;9
593199;OB1;1;201401;227;AS;C1;9
593261;OB1;1;201401;21;AS;C1;9
593293;OB2;1;201401;240;AS;F1;9
593295;OB1;1;201401;332;AS;C1;8
593305;OB2;1;201401;409;AS;C1;8
593328;OB1;1;201401;552;AA;C1;20
593345;OB2;1;201401;85;AA;C1;8
593368;OB1;1;201401;224;AA;C1;9
593374;OB2;1;201401;172;AA;C7;10
593421;OB2;1;201401;99;AS;C1;3
593423;OB1;1;201401;436;AA;C1;10
593424;OB2;1;201401;307;AA;C1;10
593425;OB2;1;201401;504;AA;C1;10
593438;OB1;1;201401;228;AA;C1;9
593494;OB2;1;201401;403;AA;C1;9
593515;OB2;1;201402;149;AA;C1;10
593538;OB1;1;201402;416;AS;F1;6
593573;OB2;1;201402;342;AA;C1;8
593581;OB2;1;201402;320;AA;C1;8
593593;OB1;1;201402;224;AA;C1;9
593595;OB1;1;201402;439;AS;F1;3
593603;OB2;1;201402;331;AS;F1;9
593624;OB2;1;201402;487;AA;C1;8
593641;OB2;1;201402;310;AS;C1;4
593654;OB2;1;201402;167;AS;C1;8
593670;OB1;1;201402;298;AA;C1;20
593687;OB1;1;201402;627;AA;C1;3
593703;OB2;1;201402;88;AS;C1;4
593709;OB2;1;201402;444;AS;C1;3
593721;OB1;1;201402;195;AA;C8;9
593743;OB2;2;201402;390;AA;C1;10
593801;OB2;1;201402;301;AS;F1;9
