NUM_CORR_ACI;SIGLA_ACO;TEMP_INTER_SUBLANCA_LD;P;PS_TA;fam_TA
497153;WRCBAA010000150099;1608;13.08;2000;media
502096;MBA2AA000150010099;1580;10.955;8100;max
498848;NPCCAS008000136099;1605;16.05;2100;media
498745;WOMAAS008000150099;1583;7.27;2000;media
501362;ZMREAS008000160099;1597;7.725;2000;media
500344;24JDAA000100010099;1613;14.245;1900;media
501736;ZMREAS008000160099;1564;9.66;0;min
498094;VCBCAA007000177099;1671;18.625;0;min
502556;WOMAAS008000150099;1557;6.965;0;min
497388;MBA2AA000150010099;1657;16.1;0;min
496487;FPB3AA0030000230X9;1687;8.825;8100;max
502980;MOCBAS016000136099;1650;16.58;0;min
502443;9LMEAS007000180099;1575;9.465;2100;media
502327;FVZ1AA000150064099;1646;13.205;0;min
500369;AAC2AA0120000420X9;1687;11.455;0;min
500374;MBA2AA000150010099;1558;8.935;7900;max
500578;ZJA2AA0040000210X9;1559;10.3;0;min
496804;DDC1AA0120000860X9;1578;12.035;0;min
498792;RJZHAS014000130099;1575;17.545;0;min
502644;VJQ1AA000150015099;1591;11.8;8100;max
498824;GXCCAS016000145099;1620;17.545;2100;media
500663;TGCDAA008000061099;1640;17.485;0;min
496944;24JDAA000100010099;1564;6.71;0;min
502413;WOMAAS008000150099;1612;15.855;0;min
501183;24JDAA000100010099;1611;11.795;0;min
496611;PLZ1AS000150105099;1622;11.835;0;min
497262;MBA2AA000150010099;1551;16.06;0;min
502658;EWZBAA006000120099;1596;21.09;0;min
501247;9GJKAS003000120099;1597;4.25;0;min
496801;LQC1AA006000066099;1596;37.89;0;min
498303;VJQ1AA000150015099;1562;9.845;8100;max
496853;VCBCAA007000177099;1583;7.74;2000;media
500516;AUCCAS0240001550X9;1584;16.975;2000;media
501529;24JDAA000100010099;1571;9.895;0;min
497747;KHCEAA0160000360X9;1701;23.28;1900;media
500879;GXCHAS016000145099;1623;14.925;8100;max
501106;VJQ1AA000150015099;1616;13.79;0;min
497667;ILICAS0460000660X9;1634;17.755;0;min
497793;DVCEAS0140002100X9;1621;13.78;1900;media
497407;WRCBAA010000150099;1610;9.66;0;min
497217;EWZBAA006000120099;1553;29.695;0;min
501863;VJQ1AA000150015099;1622;22.12;8000;max
496795;EWZBAA006000120099;1604;41.795;2100;media
500618;9GJKAS003000120099;1626;5.06;0;min
498195;62D2AC0030000260X9;1584;18.635;2100;media
502948;WOMAAS008000150099;1625;9.115;2000;media
501126;FVZ1AA000150064099;1599;11.365;2000;media
497330;30Z2AA000200026099;1616;17.025;8000;max
502718;DCC1AS006000110099;1571;11.34;0;min
496820;DVCEAS0140002100X9;1631;13.275;2100;media
497616;MBA2AA000150010099;1651;12.865;8000;max
498631;WOMAAS008000150099;1583;8.89;2100;media
498846;NPCCAS008000136099;1695;22.555;2000;media
501002;24JDAA000100010099;1626;8.635;0;min
497015;FTCBAS0210000960X9;1529;8.75;0;min
502796;WOMAAS008000150099;1604;10.245;0;min
497106;GXCHAS016000145099;1537;18.665;0;min
500720;7KMEAS007000180099;1604;15.48;2100;media
497668;ILICAS0460000660X9;1602;20.695;0;min
496451;JYCHAS0160001060X9;1583;18.005;0;min
497644;DDC1AA0160000360X9;1705;6.755;0;min
501498;PLZ1AS000150105099;1644;42.94;0;min
502231;JYCHAS0140000660X9;1649;10.205;0;min
502703;VCBCAA007000177099;1576;11.965;2000;media
497037;AAC2AA0090000460X9;1602;14.32;8000;max
500613;9GJKAS003000120099;1612;6.225;0;min
496770;YUCBAA009000153099;1579;13.745;0;min
498038;7DBBAS015000120099;1589;12.885;2000;media
498392;ZSMAAS008000157099;1554;10.34;1900;media
500770;9GJKAS003000120099;1571;4.015;0;min
