"NUM_CORR_ACI";"COD_LOCAL_EVENTO_ACI";"NUM_TRAT_ACO_PAN";"MES";"AL_CAS";"GRAU";"TRAT";"S_MAX";"family"
"978";492884;"OB2";1;201407;450;"AA";"C1";10;"AA-C1-10"
"979";492956;"OB1";1;201407;475;"AA";"C1";10;"AA-C1-10"
"982";493092;"OB2";1;201407;432;"AA";"C1";10;"AA-C1-10"
"984";493149;"OB2";1;201407;401;"AA";"C1";10;"AA-C1-10"
"988";493221;"OB1";1;201407;702;"AA";"C1";10;"AA-C1-10"
"989";493222;"OB2";1;201407;627;"AA";"C1";10;"AA-C1-10"
"1008";493569;"OB1";1;201408;352;"AA";"C1";10;"AA-C1-10"
"1031";494072;"OB2";1;201408;157;"AA";"C1";10;"AA-C1-10"
"1045";590296;"OB2";1;201309;68;"AA";"C1";10;"AA-C1-10"
"1047";590329;"OB2";1;201309;289;"AA";"C1";10;"AA-C1-10"
"1051";590387;"OB2";1;201309;690;"AA";"C1";10;"AA-C1-10"
"1052";590389;"OB2";1;201309;543;"AA";"C1";10;"AA-C1-10"
"1056";590422;"OB1";1;201309;189;"AA";"C1";10;"AA-C1-10"
"1057";590456;"OB1";1;201309;152;"AA";"C1";10;"AA-C1-10"
"1070";590729;"OB1";1;201309;283;"AA";"C1";10;"AA-C1-10"
"1072";590757;"OB2";1;201310;469;"AA";"C1";10;"AA-C1-10"
"1081";590947;"OB1";1;201310;476;"AA";"C1";10;"AA-C1-10"
"1097";591244;"OB1";2;201310;175;"AA";"C1";10;"AA-C1-10"
"1102";591278;"OB2";2;201310;633;"AA";"C1";10;"AA-C1-10"
"1103";591279;"OB1";2;201310;427;"AA";"C1";10;"AA-C1-10"
"1107";591416;"OB2";1;201310;480;"AA";"C1";10;"AA-C1-10"
"1116";591726;"OB1";1;201311;347;"AA";"C1";10;"AA-C1-10"
"1117";591753;"OB1";1;201311;431;"AA";"C1";10;"AA-C1-10"
"1131";592089;"OB1";1;201311;198;"AA";"C1";10;"AA-C1-10"
"1137";592176;"OB2";1;201312;72;"AA";"C1";10;"AA-C1-10"
"1140";592233;"OB2";1;201312;0;"AA";"C1";10;"AA-C1-10"
"1142";592242;"OB1";1;201312;260;"AA";"C1";10;"AA-C1-10"
"1143";592250;"OB2";1;201312;89;"AA";"C1";10;"AA-C1-10"
"1144";592281;"OB1";1;201312;470;"AA";"C1";10;"AA-C1-10"
"1145";592292;"OB2";1;201312;208;"AA";"C1";10;"AA-C1-10"
"1152";592443;"OB1";1;201312;713;"AA";"C1";10;"AA-C1-10"
"1158";592742;"OB2";1;201312;575;"AA";"C1";10;"AA-C1-10"
"1171";592943;"OB1";1;201401;539;"AA";"C1";10;"AA-C1-10"
"1172";592954;"OB2";1;201401;445;"AA";"C1";10;"AA-C1-10"
"1180";593029;"OB2";1;201401;269;"AA";"C1";10;"AA-C1-10"
"1195";593441;"OB2";1;201401;324;"AA";"C1";10;"AA-C1-10"
"1196";593453;"OB1";1;201401;65;"AA";"C1";10;"AA-C1-10"
"1201";593507;"OB2";1;201402;321;"AA";"C1";10;"AA-C1-10"
"1203";593546;"OB2";1;201402;128;"AA";"C1";10;"AA-C1-10"
