"NUM_CORR_ACI","SIGLA_ACO","P_MIN","P_MAX","C_VIS","P_GUSA","SI_GUSA","cbs","pbs","cp1","pp1","CAL","CALCARIO","DOLCA","DOLCR","NEFE","CAO_INPUT","MGO_INPUT","NEFE_REAL","SUCATA_TOTAL","CARGA_LIQUIDA","PS_TA","sep1","TFS","TPAN"
"595385","VJQ1AA000150015099",0.00,12.00,0.15,125.00,32.00,,,3.59,8.17,5765.00,0.00,5948.00,202.00,145.00,8283.15,2287.45,145.00,37100.00,152530.00,4900.00,"***",,1616.00
"491661","ZICHAS018000145099",0.00,25.00,18.00,120.00,31.00,5.66,16.54,12.69,16.30,4568.00,0.00,3098.00,325.00,0.00,5842.53,1309.24,0.00,42300.00,146030.00,6800.00,"***",1660.00,1579.00
"491662","ZICHAS018000145099",0.00,25.00,18.00,122.00,36.00,4.21,15.62,12.15,17.11,4913.00,0.00,3267.00,329.00,380.00,6245.82,1382.98,0.00,40300.00,138400.00,0.00,"***",,1612.00
"491664","55Z2AA000180070099",70.00,90.00,0.18,113.00,27.00,3.87,14.66,,,2037.00,581.00,2441.00,2549.00,0.00,4232.62,1395.25,0.00,25300.00,180830.00,0.00,"***",1663.00,1606.00
"491665","55Z2AA000180070099",70.00,90.00,0.18,114.00,28.00,2.43,21.25,,,3223.00,0.00,3860.00,1393.00,0.00,5309.88,1685.69,0.00,37100.00,152130.00,0.00,"***",1696.00,1647.00
"491666","55Z2AA000180070099",70.00,90.00,0.18,115.00,39.00,,,3.11,22.94,3063.00,0.00,5123.00,341.00,0.00,5420.16,1905.12,0.00,37100.00,152630.00,0.00,"***",,1655.00
"491667","32Z2AA000190056099",40.00,55.00,0.19,118.00,28.00,,,3.05,24.41,2521.00,0.00,4521.00,343.00,0.00,4627.80,1679.72,0.00,37000.00,152130.00,0.00,"***",,1648.00
"491668","32Z2AA000190056099",40.00,55.00,0.19,123.00,27.00,8.43,35.14,2.61,25.68,2668.00,0.00,4555.00,345.00,0.00,4781.49,1698.65,0.00,37200.00,152230.00,3600.00,"***",,1646.00
"491669","DDC1AA0160000360X9",0.00,25.00,16.00,117.00,24.00,,,8.16,16.16,6407.00,0.00,4625.00,344.00,0.00,8292.03,1908.52,0.00,42700.00,145530.00,0.00,"***",,1640.00
"491670","DDC1AA0160000360X9",0.00,25.00,16.00,112.00,27.00,,,7.93,17.26,4491.00,0.00,4131.00,344.00,0.00,6273.03,1649.70,0.00,42700.00,144630.00,7600.00,"***",1682.00,1671.00
"491671","DDC1AA0160000360X9",0.00,25.00,16.00,112.00,31.00,4.13,19.72,8.11,16.72,4561.00,0.00,4192.00,342.00,0.00,6366.75,1672.97,0.00,42400.00,144930.00,7300.00,"***",1670.00,1654.00
"491676","DDC1AA0160000360X9",0.00,25.00,16.00,114.00,12.00,,,9.80,7.88,7475.00,0.00,4135.00,342.00,211.00,9049.41,1799.86,0.00,42400.00,146580.00,0.00,"***",,1598.00
"491678","JYCHAS0140000860X9",0.00,25.00,14.00,115.00,44.00,,,10.04,11.77,7930.00,0.00,4960.00,331.00,338.00,9864.93,2092.88,0.00,27100.00,159580.00,0.00,"***",,1642.00
"491679","JYCHAS0140000860X9",0.00,25.00,14.00,119.00,24.00,,,9.05,10.58,5981.00,0.00,4003.00,330.00,0.00,7592.67,1679.44,0.00,27500.00,159780.00,6900.00,"***",,1608.00
"491681","GXCAAS018000145099",0.00,25.00,18.00,107.00,16.00,,,,,2789.00,0.00,2481.00,338.00,125.00,3896.19,1019.02,0.00,25900.00,155380.00,2000.00,"***",,1617.00
