"NUM_CORR_ACI","SIGLA_ACO","P_MIN","P_MAX","C_VIS","P_GUSA","SI_GUSA","cbs","pbs","cp1","pp1","CAL","CALCARIO","DOLCA","DOLCR","NEFE","CAO_INPUT","MGO_INPUT","NEFE_REAL","SUCATA_TOTAL","CARGA_LIQUIDA","PS_TA","sep1","TFS","TPAN"
"595474","YRCEAA009000125099",0.00,25.00,9.00,111.00,64.00,5.79,11.71,,,5574.00,514.00,5612.00,2576.00,182.00,9015.50,2620.04,182.00,23000.00,152750.00,2000.00,"***",1682.00,1598.00
"595475","VJQ1AA000150015099",0.00,12.00,0.15,111.00,51.00,,,3.16,6.79,7473.00,0.00,6368.00,214.00,0.00,10077.15,2513.61,0.00,31300.00,158650.00,6300.00,"***",1686.00,1616.00
"595476","VQB2AA017000075099",0.00,20.00,17.00,114.00,41.00,5.74,15.43,13.21,16.77,3568.00,0.00,3535.00,0.00,0.00,5015.04,1344.95,0.00,35000.00,151950.00,8300.00,"***",1684.00,1614.00
"595477","VQB2AA017000075099",0.00,20.00,17.00,114.00,62.00,3.95,13.62,,,4051.00,509.00,3535.00,3369.00,0.00,6861.04,2000.97,0.00,34700.00,152150.00,7400.00,"***",1698.00,1666.00
"595478","VQB2AA017000075099",0.00,20.00,17.00,115.00,53.00,7.32,9.28,13.01,10.40,6510.00,0.00,5565.00,210.00,244.00,8794.80,2199.75,244.00,34900.00,152950.00,8800.00,"***",1650.00,
"595479","VQB2AA017000075099",0.00,20.00,17.00,108.00,36.00,,,12.13,10.96,6726.00,0.00,3816.00,0.00,368.00,8086.86,1595.58,368.00,34900.00,152450.00,2100.00,"***",,1629.00
"595481","VJQ1AA000150015099",0.00,12.00,0.15,101.00,46.00,,,2.50,11.60,4921.00,977.00,4800.00,2476.00,0.00,8244.73,2324.58,0.00,31400.00,157550.00,6500.00,"***",,1645.00
"491760","JYCHAS0160001060X9",0.00,25.00,16.00,103.00,51.00,,,13.34,16.30,4115.00,582.00,3518.00,341.00,124.00,5954.04,1457.17,0.00,33000.00,145950.00,3500.00,"***",,1640.00
"491762","JYCCAS0160001160X9",0.00,25.00,16.00,109.00,70.00,10.10,15.39,11.31,12.05,6865.00,0.00,5513.00,335.00,330.00,9141.24,2222.84,0.00,30200.00,152850.00,2800.00,"***",1669.00,1609.00
"491763","RJZHAS014000130099",25.00,50.00,14.00,103.00,49.00,4.70,18.43,8.38,16.61,5255.00,0.00,4906.00,337.00,0.00,7353.24,1942.39,0.00,33100.00,145750.00,8400.00,"***",1682.00,1625.00
"491764","MBA2AA000150010099",0.00,15.00,0.15,104.00,53.00,7.16,17.77,3.53,10.43,5562.00,573.00,3232.00,3950.00,0.00,8348.40,2084.31,0.00,33000.00,152550.00,8000.00,"***",1703.00,1640.00
"491765","MBA2AA000150010099",0.00,15.00,0.15,107.00,47.00,,,4.38,9.15,6528.00,0.00,4757.00,336.00,202.00,8465.28,1956.69,0.00,31400.00,157850.00,2900.00,"***",,1612.00
"491766","24JDAA000100010099",0.00,10.00,0.10,106.00,41.00,3.54,10.58,2.44,7.82,6238.00,1043.00,2627.00,3719.00,325.00,8873.65,1900.38,0.00,29800.00,157650.00,0.00,"***",,
"491768","MBA2AA000150010099",0.00,15.00,0.15,114.00,40.00,,,2.07,7.99,5980.00,0.00,4546.00,343.00,315.00,7856.67,1860.92,0.00,34600.00,152050.00,0.00,"***",,1619.00
"491769","GXCHAS018000145099",0.00,25.00,18.00,101.00,28.00,,,11.11,20.82,2592.00,0.00,2473.00,350.00,348.00,3713.10,1008.69,0.00,31100.00,154950.00,0.00,"***",,1640.00
"491770","GXCCAS016000145099",0.00,25.00,16.00,83.00,29.00,5.06,14.88,5.57,14.98,3300.00,0.00,2114.00,344.00,0.00,4197.24,924.54,0.00,26100.00,207850.00,2100.00,"***",1649.00,1601.00
"491772","GXCCAS016000145099",0.00,25.00,16.00,99.00,27.00,4.98,17.37,12.54,17.81,2549.00,587.00,969.00,2993.00,0.00,4152.10,1015.31,0.00,25300.00,152750.00,1900.00,"***",1677.00,
"491773","30Z2AA000200026099",15.00,30.00,0.20,116.00,47.00,,,2.57,8.48,6301.00,584.00,5270.00,656.00,0.00,8933.05,2201.43,0.00,31300.00,158750.00,5700.00,"***",,1618.00
"491774","30Z2AA000200026099",15.00,30.00,0.20,111.00,39.00,,,3.25,12.69,3838.00,581.00,3489.00,1936.00,0.00,6208.30,1720.80,0.00,31400.00,158450.00,4500.00,"***",,1623.00
"491775","31Z2AA000240026099",24.00,39.00,0.24,105.00,28.00,,,1.63,14.08,2024.00,581.00,2374.00,2997.00,0.00,4336.21,1453.13,0.00,30900.00,158050.00,2000.00,"***",,1639.00
"491776","30Z2AA000200026099",15.00,30.00,0.20,101.00,29.00,,,1.58,13.63,2964.00,580.00,2645.00,2490.00,0.00,5172.62,1498.25,0.00,31380.00,157950.00,2500.00,"***",,1608.00
"491777","AAC3AA0040000210X9",0.00,25.00,4.00,115.00,42.00,,,2.39,7.58,5250.00,586.00,4630.00,1236.00,0.00,7840.94,2042.18,0.00,31900.00,157750.00,4600.00,"***",,1612.00
