NUM_CORR_ACI;SIGLA_ACO;COD_TPAO;CLS_DARDO;CONS_AL;P;P_MAX
595853;VCBCAA007000170099;2;sem dardo;881;16.165;20
493123;VJQ1AA000150015099;2;sem dardo;377;7.15;12
596267;DGC2AA003000021099;1;com dardo;401;19.635;25
597855;DGC2AA003000021099;1;com dardo;229;11.185;25
492851;7PMAAS010000135099;1;com dardo;918;14.465;18
595025;21Q1AA000100010099;1;com dardo;868;9.2;12
492756;DDC1AA0130001200X9;1;com dardo;791;21.635;25
492842;7PMBAS010000135099;2;sem dardo;551;18.373;18
598570;DGC2AA003000021099;1;com dardo;849;8.385;25
598617;ZSMAAS008000157099;5;sem dardo;352;12.985;18
598781;AAC3AA0040000210X9;1;com dardo;754;19.14;25
598783;AAC3AA0040000210X9;1;com dardo;721;20.403;25
492765;MBA2AA000150010099;2;sem dardo;358;11.995;15
492744;MBA2AA000150010099;1;com dardo;332;13.403;15
595818;24JDAA000100010099;2;sem dardo;327;11.753;10
596597;JYCHAS0160001060X9;4;sem dardo;389;18.995;25
592921;YUCBAA007000153099;2;sem dardo;681;30.57;25
594147;24JDAA000100010099;2;sem dardo;572;10.245;10
491031;YUCBAA007000153099;2;sem dardo;529;22.24;25
492057;TBCDAS0070002000X9;2;sem dardo;357;14.483;25
593554;EWZBAA006000120099;1;com dardo;1009;50.535;55
595309;DDC1AA0130001200X9;2;sem dardo;778;21.717;25
491681;GXCAAS018000145099;2;sem dardo;966;23.087;25
594406;24JDAA000100010099;1;com dardo;517;15.333;10
596001;RJZ1AS004000021099;2;sem dardo;184;34.435;50
491397;24JDAA000100010099;5;sem dardo;307;8.63;10
597842;MBA2AA000150010099;2;sem dardo;322;11.89;15
597906;JYCHAS0140001260X9;2;sem dardo;766;14.492;25
596580;DDCHAA0110000360X9;5;sem dardo;353;24.295;25
596345;QECDAA0090000360X9;2;sem dardo;1167;19.775;25
595092;YUCBAA009000153099;1;com dardo;839;17.01;25
596273;DDC1AA0160000560X9;2;sem dardo;505;11.517;25
492660;VJQ1AA000150015099;2;sem dardo;538;10.555;12
492547;CSCDAA005000036099;2;sem dardo;419;11.58;25
596830;JYCHAS0160001060X9;2;sem dardo;227;23.95;25
596629;84D1AS000150050099;1;com dardo;993;18.778;30
596814;XRRBAS009000085099;2;sem dardo;907;17.755;21
596818;XRRBAS009000085099;2;sem dardo;80;12.6;21
598808;BXCDAS016000150099;1;com dardo;552;19.343;25
598810;GXCHAS016000145099;1;com dardo;315;18.045;25
596000;RJZ1AS006000036099;2;sem dardo;141;38.66;50
596870;RJZ1AS010000080099;2;sem dardo;201;33.32;50
597728;JYCHAS0140000860X9;2;sem dardo;247;13.23;25
494702;MBA2AA000150010099;2;sem dardo;535;10.535;15
494984;DDC1AA0150001250X9;1;com dardo;697;17.08;25
597354;AAC2AA0090000460X9;2;sem dardo;406;19.26;25
492705;YUCBAA007000153099;2;sem dardo;890;21.4;25
596833;CTBBAS017000125099;2;sem dardo;366;17.765;20
596680;30Z2AA000200026099;6;sem dardo;400;32.1;30
596776;AACHAA0120000360X9;2;sem dardo;940;19.365;25
595902;24JDAA000100010099;6;sem dardo;408;8.772;10
596182;DDC1AA0120000860X9;1;com dardo;603;14.27;25
492787;VJQ1AA000150015099;1;com dardo;305;13.69;12
491193;24JDAA000100010099;2;sem dardo;911;10.753;10
492609;24JDAA000100010099;1;com dardo;338;11.02;10
597949;GXCCAS016000145099;2;sem dardo;616;20.795;25
597950;GXCHAS016000145099;2;sem dardo;285;19.418;25
492905;XRREAS009000130099;1;com dardo;409;15.413;21
596804;AACDAA0110001510X9;2;sem dardo;474;20.485;25
492894;FVZ1AA000150064099;5;sem dardo;477;27.095;35
596472;MBA2AA000150010099;1;com dardo;393;10.155;15
596707;MBA2AA000150010099;6;sem dardo;453;12.565;15
596793;LQC1AA006000066099;1;com dardo;481;25.295;25
492296;LQC1AA006000066099;1;com dardo;587;12.925;25
492840;MBA2AA000150010099;1;com dardo;415;14.2;15
596735;QECDAA0090000360X9;2;sem dardo;629;15.72;25
490143;24JDAA000100010099;2;sem dardo;292;13.865;10
492944;9GJKAS003000120099;2;sem dardo;1081;6.6;10
493333;AAC3AA0040000210X9;2;sem dardo;510;12.04;25
493514;DGC2AA003000021099;1;com dardo;245;8.04;25
493199;CSCDAA005000036099;6;sem dardo;531;15.32;25
597095;GBNHAS0450001260X9;1;com dardo;386;17.304;22
596445;VNBCAA012000180099;1;com dardo;853;18.65;20
594091;FVZ1AA000150064099;1;com dardo;676;31.912;35
593162;PLZ1AS000150105099;1;com dardo;627;69.592;80
593519;GJBAAS013000100099;6;sem dardo;343;18.933;20
595295;DVCEAS0140002100X9;2;sem dardo;712;15.808;25
493559;GXCCAS016000145099;1;com dardo;252;17.12;25
597725;JYCHAS0140000860X9;2;sem dardo;385;14.255;25
597717;JYCHAS0140000660X9;1;com dardo;273;18.645;25
597105;7PMAAS010000135099;1;com dardo;534;17.92;18
492880;DDC1AA0160000360X9;1;com dardo;931;12.265;25
492545;LQC1AA006000066099;1;com dardo;197;18.335;25
493468;KCCBAS007000120099;2;sem dardo;113;22.182;25
494516;DDC1AA0130001200X9;2;sem dardo;385;23.23;25
489672;DCC1AS006000110099;2;sem dardo;397;20.5;25
492825;MBA2AA000150010099;1;com dardo;504;13.95;15
596853;DDC1AA0120000860X9;2;sem dardo;832;12.49;25
492453;YRCEAA009000125099;1;com dardo;993;15.01;25
596569;MBA2AA000150010099;2;sem dardo;356;12.467;15
596997;MBA2AA000150010099;2;sem dardo;481;7.395;15
493757;AACHAA0120000360X9;2;sem dardo;329;17.518;25
493798;DGC2AA003000021099;4;sem dardo;715;14.073;25
492817;24JDAA000100010099;2;sem dardo;354;12.502;10
598398;RMICAS029000126099;2;sem dardo;220;11.94;23
596397;MBA2AA000150010099;1;com dardo;285;11.335;15
598490;24JDAA000100010099;2;sem dardo;332;8.6;10
495219;LICDAA010000096099;2;sem dardo;272;18.865;25
596474;MBA2AA000150010099;2;sem dardo;313;12.245;15
596963;TGCDAA008000061099;1;com dardo;887;16.75;25
492499;TGCDAA008000061099;2;sem dardo;1185;18.415;25
492670;21Q1AA000100010099;1;com dardo;342;12.078;12
597317;GXCHAS018000145099;2;sem dardo;186;24.743;25
597320;RJZHAS007000126099;2;sem dardo;494;40.342;50
597314;GXCCAS018000145099;1;com dardo;374;16.003;25
493225;84D1AS000150050099;1;com dardo;1161;18.85;30
493206;GXCBAS018000145099;2;sem dardo;525;15.06;25
596475;MBA2AA000150010099;1;com dardo;375;11.533;15
492911;MBA2AA000150010099;2;sem dardo;416;9.813;15
493137;KHCEAA0160000560X9;1;com dardo;397;17.305;25
596881;DDC1AA0160000560X9;1;com dardo;415;15.675;25
597225;MBA2AA000150010099;2;sem dardo;339;10.662;15
597273;55Z2AA000180070099;1;com dardo;515;82.959;90
493364;JYCHAS0140000660X9;1;com dardo;164;17.37;25
493366;JYCHAS0140000660X9;1;com dardo;209;19.985;25
490583;FVZ1AA000150064099;2;sem dardo;274;28.647;35
490958;24JDAA000100010099;1;com dardo;1408;13.102;10
493190;GXCCAS016000145099;2;sem dardo;904;20.668;25
493151;7PMAAS008000153099;1;com dardo;421;12.663;18
598248;AAC2AA0120000420X9;6;sem dardo;429;19.76;25
494490;MBA2AA000150010099;2;sem dardo;361;9.533;15
492280;ILCCAS0200000360X9;2;sem dardo;363;24.25;25
494783;MBA2AA000150010099;1;com dardo;472;17.445;15
597255;DDC1AA0160000560X9;2;sem dardo;478;18.167;25
492779;FVZ1AA000150064099;1;com dardo;469;29.608;35
597010;81CDAS010000156099;1;com dardo;463;15.085;25
492671;VJQ1AA000150015099;2;sem dardo;461;9.688;12
493147;DDC1AA0160000560X9;5;sem dardo;423;16.005;25
596401;MBA2AA000150010099;6;sem dardo;832;11.3;15
596414;DDC1AA0150001250X9;1;com dardo;201;23.03;25
597180;24JDAA000100010099;1;com dardo;253;9.78;10
492212;81CDAS010000156099;4;sem dardo;311;16.28;25
493498;GXCCAS016000145099;2;sem dardo;511;16.942;25
494042;JYCHAS0160001060X9;2;sem dardo;500;22.323;25
597263;DGC2AA006000040099;6;sem dardo;539;25.3;25
493541;XRREAS009000130099;2;sem dardo;334;20.05;21
493059;DDC1AA0120000860X9;1;com dardo;558;15.603;25
493154;DGC2AA006000040099;1;com dardo;423;20.8;25
597120;MBA2AA000150010099;6;sem dardo;308;12.307;15
597191;21Q1AA000100010099;6;sem dardo;206;13.667;12
598629;WOMAAS008000150099;2;sem dardo;401;13.91;18
593399;FVZ1AA000150064099;1;com dardo;742;30.18;35
493565;GXCCAS016000145099;2;sem dardo;628;18.3;25
598109;VCBCAA007000170099;2;sem dardo;562;16.275;20
598114;9GJKAS003000120099;2;sem dardo;1162;8.95;10
493888;DGC2AA003000021099;2;sem dardo;336;11.677;25
493890;DGC2AA003000021099;2;sem dardo;180;11.47;25
493900;24JDAA000100010099;2;sem dardo;211;11.465;10
596760;MBA2AA000150010099;6;sem dardo;305;11.297;15
597237;BECCAS0290001310X9;2;sem dardo;385;14.405;25
493910;DDCDAA0120000860X9;2;sem dardo;427;16.965;25
493560;AACDAA0110001510X9;2;sem dardo;686;17.432;25
597607;62D2AC0030000260X9;2;sem dardo;78;23.24;30
493661;GXCHAS016000145099;2;sem dardo;508;22.9;25
493353;DGC2AA003000021099;2;sem dardo;420;12.765;25
597691;RJZHAS012000120099;1;com dardo;287;45.49;50
596036;MBA2AA000150010099;2;sem dardo;724;6.878;15
596235;NPCCAS008000136099;1;com dardo;898;26.117;25
596521;24JDAA000100010099;6;sem dardo;281;13.853;10
596763;24JDAA000100010099;2;sem dardo;335;10.352;10
494547;FVZ1AA000150064099;2;sem dardo;658;31.863;35
597759;WOMAAS008000150099;5;sem dardo;478;15.263;18
597769;JYCHAS0140000660X9;1;com dardo;316;15.2;25
593216;MBA2AA000150010099;2;sem dardo;428;10.355;15
597546;MBA2AA000150010099;2;sem dardo;305;10.147;15
489661;FVZ1AA000150064099;6;sem dardo;312;26.338;35
597729;GXCCAS016000145099;2;sem dardo;130;25.775;25
596765;24JDAA000100010099;2;sem dardo;255;10.02;10
597020;VJQ1AA000150015099;2;sem dardo;404;15.535;12
493621;62D2AC0030000260X9;2;sem dardo;74;13.785;30
596537;TNZ2AA000180056099;5;sem dardo;646;36.801;50
596542;VJQ1AA000150015099;2;sem dardo;499;13.02;12
492713;TGCDAA008000086099;1;com dardo;513;20.8;25
492961;VJQ1AA000150015099;2;sem dardo;418;7.925;12
493252;24JDAA000100010099;2;sem dardo;324;12.21;10
493356;DGC2AA003000021099;1;com dardo;412;14.377;25
493382;MBA2AA000150010099;2;sem dardo;285;11.44;15
597835;KOBEAS026000090099;2;sem dardo;513;20.35;20
495542;RWC1AA003000021099;6;sem dardo;622;15.333;25
495620;DGC2AA006000040099;6;sem dardo;446;16.09;25
493004;24JDAA000100010099;2;sem dardo;479;7.86;10
597777;DGC2AA003000021099;1;com dardo;333;13.198;25
597862;JYCHAS0160001060X9;2;sem dardo;253;12.91;25
597864;RJZHAS014000130099;2;sem dardo;248;44.625;50
594509;FVZ1AA000150064099;2;sem dardo;316;23.895;35
596764;24JDAA000100010099;2;sem dardo;224;9.462;10
597278;TNZ2AA000180056099;2;sem dardo;671;48.918;50
493408;TGCDAA008000061099;2;sem dardo;670;13.585;25
493433;TBCDAS0070002000X9;2;sem dardo;505;15.712;25
493250;24JDAA000100010099;2;sem dardo;298;8.783;10
597886;55Z2AA000180070099;2;sem dardo;498;85.553;90
596864;RJZ1AS004000021099;2;sem dardo;464;41.94;50
496430;MBA2AA000150010099;1;com dardo;271;12.185;15
496431;AAC2AA0090000460X9;5;sem dardo;470;14.623;25
493469;KHCEAA0160000360X9;2;sem dardo;450;24.23;25
493583;QECDAA0120000360X9;2;sem dardo;882;18.163;25
500296;9GJKAS003000120099;1;com dardo;1166;8.588;10
493020;DDC1AA0150001250X9;2;sem dardo;465;13.855;25
493104;62D2AC0030000260X9;1;com dardo;80;16.325;30
